customer_text,true_intent,predicted_intent
os podéis imaginar la cantidad de envíos que recibe esta recepcionista para hacer eso 😂😂😂😂😂 [LINK],GENERAL_COMPLAINT,REFUND_RETURN
I need my prizes. I can send you the screenshot of the clues I found.,GENERAL_COMPLAINT,PRODUCT_TECHNICAL
C'est normal que j'ai été débité d'un montant pour un non retour alors que le remplacement était du a un colis non livré pour cause d’endommagement ?,PAYMENT_BILLING,DELIVERY_TRACKING
I've sent emails in response to an order I made. I NEED to change size to 18 mo old onesie NOT 3 mo they're sending me. Plz HELP!,ORDER_MANAGEMENT,ORDER_MANAGEMENT
"meu livro chegou danificado, o que eu faço?",REFUND_RETURN,GENERAL_COMPLAINT
", stop lying we never asked to delay our order. Ur is simply late. [LINK]",DELIVERY_TRACKING,ORDER_MANAGEMENT
bit of a useless link if im honest - anything better you can do to help me?,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"But your customer executive has created for refund on 9 Oct. Then, what is that? Are you all are just misguiding your customers. [LINK]",REFUND_RETURN,REFUND_RETURN
more fake commitments ? lets play it like this then #NeverShopFromAmazon #amazonsucks,GENERAL_COMPLAINT,DELIVERY_TRACKING
"Bonjour , ma commande n'est toujours pas arrivée et le suivi de colis ne se mets pas à jour depuis 1 semaine, un souci?",DELIVERY_TRACKING,DELIVERY_TRACKING
No compensation? means amazon making advertisements of guaranteed PRIME delivery are just marketing strategy only ??,PRIME_DIGITAL,PRIME_DIGITAL
Hey its pathetic that being a PRIME customer my pickup has been cancelled 2 times ORDER 406-3743247-3668349,DELIVERY_TRACKING,ORDER_MANAGEMENT
Through the website. Used the gift ideas link and filtered to gifts under £10 for women :),GENERAL_COMPLAINT,PRODUCT_TECHNICAL
Such a dis satisfying answer got from Amazon support team. Really feeling bad,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"Can’t believe I ordered a Christmas Monopoly addition , but what turned up instead ..... WWF addition !! Nice one ... and it even said Christmas Monopoly on the bloody invoice .... who is checking these parcels ?? Defo not elves 😡",REFUND_RETURN,DELIVERY_TRACKING
I appreciate the update on my order but is there a way to know why the date has been moved? Others have received their copy :(,DELIVERY_TRACKING,ORDER_MANAGEMENT
Hi. Looks like the mail man hit the wrong button on their handheld. Turns out the packages where in the mailbox kiosk. Usually they'll indicate that. Next time I'll check the kiosk before rage tweeting. My bad. Thanks for the quick reply. Everything is fine.,DELIVERY_TRACKING,PRODUCT_TECHNICAL
No order received legit amazon. [LINK],DELIVERY_TRACKING,ORDER_MANAGEMENT
Their c/s rep says they should have left a slip but we didn’t get one. We are having issue with usps not delivering to our new address,DELIVERY_TRACKING,ORDER_MANAGEMENT
You have missed the delivery date for my last 3 packages. I have one now saying delivering today but it hasn’t even shipped.,DELIVERY_TRACKING,DELIVERY_TRACKING
Query not resolved. Your team is also very rude in talking to customers.,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"[LINK] no mention of may contains, if there was a pic i would have decided no. Due to, mc of soya and egg.",PRODUCT_TECHNICAL,GENERAL_COMPLAINT
And for One product Amazon keeps telling me that I can't order more than two quantity,ORDER_MANAGEMENT,ORDER_MANAGEMENT
When you pay for Prime but things still get delayed. Harumph. Not like it was a medical order... Oh wait.,PRIME_DIGITAL,DELIVERY_TRACKING
heck i didnt even change a preorder and it still isnt making release day delivery. Explain that,ORDER_MANAGEMENT,DELIVERY_TRACKING
si grazie! Appena finito di parlarci in chat,GENERAL_COMPLAINT,PAYMENT_BILLING
"Oh yes, said call centre staff, a manager will call you back within 24 hours. And did they? Did they f*ck. Is this how it's meant to be ?",GENERAL_COMPLAINT,DELIVERY_TRACKING
"There is no resolution so far.. it’s been already reported, Ctct me. 9741366243",GENERAL_COMPLAINT,PAYMENT_BILLING
Yep. I qualify from tomorrow yet seller wants me to wait till 2 Nov while they investigate.,ORDER_MANAGEMENT,REFUND_RETURN
I’ve tried that too! Just get ‘it’s been marked as delivered’,DELIVERY_TRACKING,DELIVERY_TRACKING
はい、予定日が11日から18日の間でしたが商品届かず20日出品者に連絡した所日本の税関で止まってしまっているのでは？との回答で後3日程お待ちして下さいと返信が来ましたが今だに届く気配もありません。,DELIVERY_TRACKING,GENERAL_COMPLAINT
Thank you! Already did. Hope to get in touch soon! Is there a way to chat to someone?,GENERAL_COMPLAINT,GENERAL_COMPLAINT
Still no one has got in touch about the complaint. Please let me know what happens guys. I was to receive the phone on Monday?,DELIVERY_TRACKING,GENERAL_COMPLAINT
"Bonjour, le livreur COLIS PRIVÉ m’indique que mon colis a été redéposé à Amazon, mais Amazon n’indique pas qu’il l’a reçu. Que faire ?",DELIVERY_TRACKING,DELIVERY_TRACKING
". unacceptable that a package I have been waiting a week for, that was to be delivered today is mysteriously delayed until Thursday. Do better. Don’t use unreliable delivery services. I NEED my order. You should use UPS, FEDEX and USPS only during busy seasons. 😡",DELIVERY_TRACKING,DELIVERY_TRACKING
I asked them about it and they had no idea what i was talking about.,GENERAL_COMPLAINT,DELIVERY_TRACKING
"Dammit quit double charging me. First prime, now kindle. This close to canceling",PAYMENT_BILLING,PRIME_DIGITAL
Claro. Pilares para uma vida saudável [LINK],GENERAL_COMPLAINT,GENERAL_COMPLAINT
"I am looking for answers for non delivery of my product and also pathetic customer relationship attitude of Amazon inspire of shopping so much.I had booked item on 10 Nov it was to be delivered on 17th but till date no delivery,have spnk to Amazon assistance,most sweet spkg guys",DELIVERY_TRACKING,DELIVERY_TRACKING
Yes i have now reset my password will keep an eye on it and make sure no more prime membership emails are sent,ACCOUNT_SECURITY,DELIVERY_TRACKING
"Dear #Amazon #GlobalStore. 50 days, No delivery, No response. [LINK]",DELIVERY_TRACKING,DELIVERY_TRACKING
c'est noté.,GENERAL_COMPLAINT,GENERAL_COMPLAINT
Amazonは桃太郎便を使うようになったの……？ Amazonから発送通知メールがきてないのに、桃太郎便から不在票が入るから、一体なんの荷物かわからなくて、注文履歴と到着予定日から「この商品かも？」って推測するっていうのが続いてる。連携とれてないの？,DELIVERY_TRACKING,GENERAL_COMPLAINT
From escalating to Amazon Leadership Team on Sept 24th till replying to all emails from till now-Nothing has happened.Hopeless,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"...and if he couldn't deliver in the morning because it was an office address, why did he try again but this time in the evening?!?! Crazy!",DELIVERY_TRACKING,DELIVERY_TRACKING
Kinda mad at amazon. I was promised knitting needles but they didn't arrive so here I am home alone w/8 balls of yarn &amp; NO KNITTING NEEDLES!,REFUND_RETURN,DELIVERY_TRACKING
I need to claim the warranty of a product . Pls help me out. Order number 171-4431460-1559535,PRODUCT_TECHNICAL,REFUND_RETURN
I’ve been through this TWICE already 😡,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"Hier, : was dein Lieferant so als sicheren Ablageplatz ansieht. Das geht ja gar nicht! [LINK]",DELIVERY_TRACKING,ACCOUNT_SECURITY
すっかり解約したと思ってたアマゾンプライム会員費が引き落とされてたので一年は楽しむしかないな,PRIME_DIGITAL,GENERAL_COMPLAINT
I had filled the form,GENERAL_COMPLAINT,GENERAL_COMPLAINT
She is still sat in her poorly parked car outside. Well done for yet another delivery fail.,DELIVERY_TRACKING,DELIVERY_TRACKING
"Some real TLC with my package here, guys. Did you run it over with the truck before you loaded it?! [LINK]",DELIVERY_TRACKING,DELIVERY_TRACKING
Please don't do that again and again! YOU are replying without understand the issue..Email from you was last sent on 1th Nov and I responded same day and also got call after that assuring problem will be resolved.. unfortunately Again you are wasting my time,GENERAL_COMPLAINT,GENERAL_COMPLAINT
It was supposed to be here on Wednesday. Don't break my heart amazon 💔,DELIVERY_TRACKING,DELIVERY_TRACKING
The order due today has arrived but not the one that was due between 6 and 10pm last night. I asked the driver he doesn't have it. Not happy,DELIVERY_TRACKING,ORDER_MANAGEMENT
"I don't have Vpn , Yes I have checked and restarted my device [LINK]",PRODUCT_TECHNICAL,GENERAL_COMPLAINT
"Have the worst time trying to unlock my account with - 4 phone calls and 3 emails later, no one is listening or helping! I just want to access my account again! #customerservice #amazon #angrycustomer #itsgettingridiculousnow",ACCOUNT_SECURITY,ACCOUNT_SECURITY
Having a very bad experience with an unexpected order cancellation...can you help? #frustrationisreal!,ORDER_MANAGEMENT,ORDER_MANAGEMENT
"apparently several residents in this apartment complex received ""delivered"" notification yesterday. But no packages",DELIVERY_TRACKING,DELIVERY_TRACKING
I dont care about your high volume. I want a call on 8817562771 RIGHT NOW,GENERAL_COMPLAINT,PRODUCT_TECHNICAL
i am supposed to return 50kg defctve ordr on my own delivery cost but seller can't resend missing 1/2kg part?,REFUND_RETURN,DELIVERY_TRACKING
do I get charged straight away if I purchased an item on pre order ?,PAYMENT_BILLING,ORDER_MANAGEMENT
"My parcel was meant to arrive today, instead it has gone to a depot 'As requested by the recipient' what?... Where's my parcel?!",DELIVERY_TRACKING,DELIVERY_TRACKING
I’ve ordered items within the past 2 weeks with my Amazon Prime and they’ve both been late.,DELIVERY_TRACKING,DELIVERY_TRACKING
"I really enjoyed the fastival i.e., The Great Indian festival.I had bought some cool gadgets and stuff at the lowest price (1/2)",GENERAL_COMPLAINT,REFUND_RETURN
"Vendors on will ship ur merchandise, provide a tracking #, but each day u track it you’ll see “package has left seller facility.”",DELIVERY_TRACKING,DELIVERY_TRACKING
"Your service in Brazil is terrible. Suffered a breach on local branch, and after contact the fraudulent sale was not stopped. #help.",ACCOUNT_SECURITY,PRODUCT_TECHNICAL
Yes I have received the details. If not then lease get my contact number for OK m ur data base and call me...,ACCOUNT_SECURITY,GENERAL_COMPLAINT
PS3を使ってテレビでAmazonビデオを見ることに成功！！！テレビで海外ドラマ見放題や～☺️ [LINK],PRIME_DIGITAL,GENERAL_COMPLAINT
From past 3 days you guys are Appreciating my patience only. Take some action and provide some result,GENERAL_COMPLAINT,REFUND_RETURN
Das Problem ist ich komme da nicht hin... Und den ihr online kack zum neu zustellen ect klappt alles irgendwie nicht,DELIVERY_TRACKING,ACCOUNT_SECURITY
"USPS, help me",DELIVERY_TRACKING,REFUND_RETURN
ho ricaricato il mio account con 80€ però non mi è stato accreditato il bonus de 8€. [LINK],PAYMENT_BILLING,DELIVERY_TRACKING
"I took yet another day off work and again I've no mattress again for my child. I have had to borrow one from a neighbour and amazon telling me again that it'll be here tomrrow, again, ""guaranteed"". All while customer services answer was to just keep rearranging and offer £5 comp",DELIVERY_TRACKING,GENERAL_COMPLAINT
"Juste une belle faute sur ""caractéristiques"".",PRODUCT_TECHNICAL,PAYMENT_BILLING
As suspected - my order didn't come. Still not dispatched. Second time in 2 weeks Prime delivery has let me down. Not impressed.,DELIVERY_TRACKING,DELIVERY_TRACKING
Pls end this drama. One more pickup reschedule and result is same. Again not picked up. No call. Unbelievable. Wondering whats ur intention.,DELIVERY_TRACKING,DELIVERY_TRACKING
Make available more Kannada films we are awaiting,PRIME_DIGITAL,ORDER_MANAGEMENT
Amazon is a liar,GENERAL_COMPLAINT,PRIME_DIGITAL
The last two orders from Amazon have been late. Do they need more driver?,DELIVERY_TRACKING,REFUND_RETURN
"eu te amo, entrega mais rápida da vida ❤❤❤",GENERAL_COMPLAINT,GENERAL_COMPLAINT
"Hola, ¿es normal que me venga un pedido de Hong Kong, y venga con remitente de Madrid, en vez del de HK?",DELIVERY_TRACKING,REFUND_RETURN
Amazonプライムという有能中の有能,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"Amazon cancels order,deletes it from my order history. Called support,asked to reorder at 50% added price! Well played #amazon #AmazonIndia",ORDER_MANAGEMENT,ORDER_MANAGEMENT
"your customer service is god awful! An undelivered packed twice in a row, nobody seems to know where it is! Top notch!",DELIVERY_TRACKING,GENERAL_COMPLAINT
Sent you the details. Hope this helps resolve the issue at the earliest,GENERAL_COMPLAINT,REFUND_RETURN
"sent me an empty cardboard box instead of my Elgato Capture card, from 1 day shipping to waiting 4 days #streamerproblems #feelsbad",REFUND_RETURN,PAYMENT_BILLING
"thank your driver for trying the door, when no answer throw parcel over the fence and leave in rain with no note pushed through 💩",DELIVERY_TRACKING,DELIVERY_TRACKING
休日の朝はアマゾンプライムに映画増えてないかチェックするのから始まる🌞（おはようございます）,PRIME_DIGITAL,GENERAL_COMPLAINT
I am tired of doing this thousands of time ...,GENERAL_COMPLAINT,GENERAL_COMPLAINT
yesterday placed order against prime but delivery boys update wrong status on the web od#404-3458920-7446761,DELIVERY_TRACKING,DELIVERY_TRACKING
J'ai recu un message comme quoi le numéro de carte n'était pas valide mais je l'ai remit et c'est bon et je le reçoit samedi merci pour votr,PAYMENT_BILLING,DELIVERY_TRACKING
tracking number 184121217537. We never requested delay delivery.pure lie. This is bad. Called customer service 3 times.no delivery,DELIVERY_TRACKING,DELIVERY_TRACKING
I think the network knew the movie was just that terrible... But yes restarting helped. [LINK],PRODUCT_TECHNICAL,PRODUCT_TECHNICAL
Amazonでセカダン1とナナドラ3のサントラポチった 早よ届け,DELIVERY_TRACKING,GENERAL_COMPLAINT
Can u plz ask Mr. Amit &amp; Mr. Akhil to check their official emails. I have shared a horrible purchase experience with them.,GENERAL_COMPLAINT,ORDER_MANAGEMENT
Me encanta amazon ya he hecho muchos pedidos sin problemas sigan así,GENERAL_COMPLAINT,GENERAL_COMPLAINT
having issues with my order I need assistance ASAP,ORDER_MANAGEMENT,ORDER_MANAGEMENT
"Was genau bedeutet ""garantiertes Zustelldatum""? War bis gestern abend 4.11. Heute wird flexibel 4.-7.11 genannt. #why",DELIVERY_TRACKING,PAYMENT_BILLING
I’m literally so mad i ordered a gift for my friend on nov 30 with amazon prime and it said it would arrive TODAY Dec 2 on her birthday and now it says tomorrow Dec 3 AFTER her birthday 😤this is not right at all i demand something done.,DELIVERY_TRACKING,DELIVERY_TRACKING
on amazon household why can you not share gift cards!?Or how can I transfer gift card balances from my husbands account to mine?,ORDER_MANAGEMENT,PAYMENT_BILLING
"Amazon canceled the order again without asking, Shameless [LINK]",ORDER_MANAGEMENT,ORDER_MANAGEMENT
Kinda pissed bc my package was supposedly left by my door but there’s no package and i need those things for this weekend 😤,DELIVERY_TRACKING,DELIVERY_TRACKING
I was told I would receive a call back from a manager within two hours and it’s now been two and a half with no call. what gives?,GENERAL_COMPLAINT,DELIVERY_TRACKING
Now onwards I won't buy anything from Amazon before confirm the price from local sellers. That's it. Good luck !!,GENERAL_COMPLAINT,GENERAL_COMPLAINT
Suspect have over-packaged a teething aid [LINK],GENERAL_COMPLAINT,GENERAL_COMPLAINT
