customer_tweet_id,customer_id,customer_text,response_tweet_id,brand_response
2538896,722076,"Ordered it Tuesday, had GUARANTEED delivery date of 16th November (today) for it to be changed to an ESTIMATED delivery date of 16th-20th of November! And not that I know of. No.",2538897,We would always aim to deliver your parcel on the date you were originally given. Orders can go out for delivery later on in a day and be delivered that same day. Can you see who is the carrier? ^MA
1430032,449294,"I couldn't make echo dot play music from prime music, sometimes it says I am not prime and only plays sample, but I am prime.",1430031,That's strange. Kindly connect with our support team here: [LINK] and we'll be happy to help. ^SH
2403952,679483,packages not arriving on time. Still no refund. Wow amazon.,2403950,Sorry to hear that- without giving any personal info can you tell us what happened? ^MA
1560606,482168,"Hey , warum muss ich bei JEDEM Login den E-Mail Code eingeben? Nur weil ich Cookies beim Verlassen lösche? Ziemlich nervig.",1560605,"Sieh dir bitte folgenden Link an, der sollte dir helfen: [LINK] Viele Grüße ^TR"
1604063,120466,Still can't login even in this link. Resetted password now too. Still shows password is incorrect.,1604065,"In that case, please try using the following link: [LINK] for assistance. ^RS"
2459994,649133,They told me over the phone it would be here by 9pm last night now it’s updated to today or tomorrow,2459996,"Sorry to hear this, this is not the kind of experience we would expect to hear. Did you check the tracking and check which carrier is handling this? :[LINK] ^BZ"
2216579,170630,Order 405-0631596-5685935 Sent so many mails. Not even bothered to reply.,2216578,"Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. 2/2 ^PS"
1477990,463192,I am guessing that at 23.16pm you have missed my next day delivery date YET AGAIN! [LINK],1477989,I'm sorry we've let you down! Late parcels typically arrive the next day by 21:00. Please keep us posted on its arrival. ^JM
1762317,513256,Trop crevé pour commencer le test ce soir 😴. On voit ça sur [LINK] ce week-end ! 🤗😀 [LINK],1762316,Profitez en bien ☺Tenez-nous au courant par rapport à votre test😉^FT
641698,272296,Result of winner contest. Give me the list link [LINK],641697,We've no news to share on this just now. Once the winners are announced you'll be able to see it on our Twitter page. ^MP
986354,353765,hi Amazon till now no update..quick question-r u going to initiate the refund or going to harass us more?,1236241,"You must've received a correspondence from us, Sumit. Please check and reply to the same email. I'll get back to you. ^HD"
1919970,571586,"Si,he hablado con ellos y me han dicho que han puesto una incidencia a Correos Express",1919971,Entiendo. ¿Te indicaron un tiempo estimado de respuesta de ? ^LG
1773804,533101,Love the 50/50 chance of a Prime order coming in 2 days. Predictable is just boring!,1773803,"Oh no! Can you tell us a little about the situation, Don? We'd like to help. ^BL"
667671,279149,Your customer support SUCKS. is so much better.,667673,I'm sorry you feel that way! Will you tell us more about how we can help? Please don't include any personal or account specific information. ^CS
1772277,532682,why yall always doing weird stuff with my deliveries?,1772274,Hello! Without sharing personal account information can you explain a bit further? ^LS
2965305,818103,Really want you to THANK the delivery driver for me for handling my sons xmas presents with such care. Customer service at its finest. [LINK],2965304,Yikes! I'm sorry that happened. Can you provide info on who the carrier is: [LINK] ^LL
1689522,512972,"hi, I preordered Call of Duty but the code I was emailed has been used apparently. I've not redeemed anything so a bit confused [LINK]",1689521,"Oh no! Sorry about this, Samuel! Please contact us here: [LINK] so we can get this resolved! ^AD"
2570425,458033,"No,rather I had made a request for the return through amazon app.. but they didnt give me any update about the status.",2570427,"Sorry about the trouble with the return. For immediate assistance, you may request a call back or start a chat session. ^HA"
2847434,791919,"have sent a private message to you, can you please check? Thanks",2847433,We've answered your DM ^VS
1515314,471571,Bonsoir. Chronopost,1515311,😓 Avez-vous signalé ce retard à notre SAV afin qu'il prenne les mesures nécessaires?^FT
746038,298346,Please use this order id 4__credit_card__ to track the issue,746040,Apologies for the inconvenience with your order. Please share your details from secured link provided for us to assist. (1/2) ^SV
1009198,344471,"I'm sorry!! u r ryt I've got mail, gone thru it , but still confused that what u ppl trying to say repeatedly ?? did u get me ?? [LINK]",1009202,Delivery to certain locations isn't available due to courier restrictions. We're working on (1/2)^SQ
2471720,603869,"Así es, ya esperando que llegue para poder probarlo",2471722,"Excelente Fernando, ¿cuál es tu juego favorito de todos los tiempos? 🕹😃📺❤️ ^NB"
2337974,190745,Not good company Amazon,2337976,I understand its taking longer than expected. However please be assured our team is working on resolving this soon.1/2 ^EM
2425959,402413,"Hi, would you be able to help instead? Or do you have a live chat? I don’t particularly want to email and wait another 24 hours to find out where the parcel is, it’s already 6 days late",2425958,"Using the link provided by RO, you can chat or speak with us on the phone! After you click on the link and sign-in, let us know how we can help and a bit more about the issue. Then you will see different options to contact us! ^DD"
2440690,260850,I was suppose to return a parcel today through but my closest shop closed today at 17:45 &amp; they asked me to come back tomorrow. Will the barcode and stuff still be valid when it said return date by 14.11.2017?,2440689,"We don't have access to accounts via Twitter. For the most accurate information regarding this barcode, please reach out to us here: [LINK] Thanks! ^EA"
2416382,126983,company is full of scam they &amp; der courier people all are the big scammers they charged money sending wrong items,2416380,"I'm sorry to see you disappointed, could you brief us the issue you are facing, we'll help. ^MJ"
1937578,576392,Who should I contact for help with packages I believe to have been stolen?,1937577,"We'd like to look into this for you. At your earliest convenience, please contact us here: [LINK] - Liz I"
1806500,342507,I placed a few orders on Saturday on Amazon.ca however the money has yet to be taken out of my bank account and the two orders are still waiting to be shipped. One order was supposed to ship yesterday but it’s now on “will ship soon”.,1806498,"I'm sorry your order is taking longer than expected! Have we missed the delivery date shown in your order confirmation: [LINK] When you first place an order, we authorize the payment, but we don't charge you until the order ships. Keep us posted! ^BN"
1227262,407899,"Mir ist gerade aufgefallen, dass euch bei Black-ish S01 Ep10 die engl. Untertitel abgeraucht sind...nur ein kleiner Hinweis.",1227260,"Danke für den Hinweis, wir lassen das gleich mal prüfen :) ^NW"
2386401,398508,"Something super annoying happened last night involving , $300, and a blatant lie. It’ll be a cold day in hell b4 I order there again.",2386399,Sorry to hear it- Without providing personal info can you explain further what happened? Has this since been resolved? ^NV
1724769,521664,exchange options not showing now for mobile,1724768,The availability of exchange offer for a product depends on several factors. 1/2 ^BV
2868338,796579,"I checked the order page and it says ""Sold by: [LINK] LLC"".",2868337,Sorry about the trouble with your order. This is not what we want to see and we're here to help! Please call or chat in so we can look at available options here: [LINK] ^SG
1345774,433806,seeking refund for money paid for phone as amazon India delivered soap.,1345773,We've responded to your query here: [LINK] ^HA
613947,265998,405-0924683-7120310 une commande qui hier apparaissait livraison avant 20h et aujourd'hui livraison entre le 25 et 27,613949,Désolée d'apprendre cela :/ je vous prie de le signaler à l'équipe en charge via ce lien ^SN
2306076,218051,I'm on chat but on hold because she's doing something (unsure of what). I'm just a bit skeptical because this same carrier tossed my last package from the driveway onto the porch and we complained (he didn't realize we were there).,2306077,I hate that you had that experience! Let us know how the chat goes! We are always here to help! ^CN
911220,336424,Amazonのプライム会員なった覚えないんだけど...,911219,(1/2)Amazonプライム無料体験をご利用されておりませんか？お申込み後、自動更新をOFFにされていない場合、体験終了後有料会員へ移行となります。会員情報は、アカウントサービス&gt;Amazonプライム会員情報を管理するにてご確認いただけます。ET
535781,231112,when i want result now since 24 hrs you don't have any information about my product how irresponsible you are you can see it,535783,"As mentioned earlier, unless we receive a reply to the email correspondence, we wouldn't be able to provide any further insight on this issue. Appreciate your understanding. ^BV"
2811111,783917,"hey there, thanks for the quick reply. Can you please have a look into this on priority",2811110,"We have received your details, Aravind. Our team will look into it and get back to you at the earliest. ^SF"
2318998,672197,Have created replacement but I needed little urgent can you help on this,2319000,Order are shipped to be delivered by the delivery estimates. Appreciate your understanding. ^MP
396858,210001,Thanks for your reply. We had already tried that but no joy. It is completely out of battery now so won't even switch on...,396860,Reach us here: [LINK] please.^CD
2685364,755219,any idea what's going on? Kindly help! [LINK],2685365,"Sorry for the delay in delivery of your order, Vedant. We'd like to take a closer look. 1/2 ^HD"
1184667,398589,Was weiß eigentlich was nicht weiß (bzw. andersrum)? #liefertermin [LINK],1184666,Leider habe ich keinen Einblick in dein Kundenkonto. Bitte lass das mal hier prüfen: [LINK] Viele Grüße ^DW
1821639,546870,- Prime membership has lost tremendous value since Laser Ship has entered the picture. Delivery unreliable. May cancel membership.,1821638,This isn't what we want to hear! Are you currently having an issue with your delivery? Please let us know. ^JA
1050708,368302,The checkout page won't let me select a delivery time or click on anything else. Everything is greyed out. The app isn't working either :( [LINK],1050710,Have you tried uninstalling and reinstalling the app? Can you try a different browser if available? ^PK
795140,309584,what do I do? the product is eligible for release day delivery,795141,"I would suggest reaching out to us here:[LINK] so we can look into this issue further for you, Callum! ^SA"
1850378,553954,Today 9pm. No I wont get it today. Perhaps tomorrow.,1850379,Hmm...what tracking updates have you gotten today? You can check here: [LINK] ^BL
142092,148056,No. My concern has not been addressed even after exchanging three emails.,142095,I'm sorry but we wouldn't be able to share this information over social media. Request you to share your details using the link provided earlier so that we can assist you accordingly. Appreciate your understanding. ^GD
1758037,529281,I wish was competent enough to deliver packages on time. Too bad keeps using them for some reason.,1758036,I'm sorry for any frustration! Do you have a current order that's passed the delivery date? ^DD
560621,251155,it’s been a week since i ordered something on and chose two day shipping 😡 i need to make christmas presents 😡,560620,I'm so sorry for the delay! We'd love to help. What's the latest tracking update for the order: [LINK] ^LR
682624,282900,"how I can contact amazon transportation services in Lucknow, Uttar Pradesh. Its for our order which is scheduled for today.",682623,Please reach our support team here: [LINK] for assistance regarding this. ^RS
380758,206313,It’s says sold by ‘amazon EU S.a.r.L,380759,Did we advise you to contact a Marketplace Seller - or to return the defective items to us ? ^TD
460001,139817,It would appear 3rd Party,460002,Please reach out to us using the link provided and we'll be glad to investigate this further: [LINK] ^FJ
2378638,679211,Lets c,2378639,"Our team is currently working on your concern, request you to kindly wait for an update. ^RS"
2319397,672282,"Si , compro muchísimo, soy premium y solo tengo problemas con . Siempre.",2319399,"Entiendo, ¿has reportado las incidencias con Servicio al Cliente directamente? ^KS"
2523397,718613,"Thank You for carefully delivering my Mirror, MARKED FRAGILE, from today. [LINK]",2523396,"I'm so sorry about this poor delivery! We can't view your account details on Twitter, but would still like to help. Was the mirror in the package damaged? Also, can you please double-check the order: [LINK] and let us know who the carrier was? ^JS"
1556233,481165,Amazonのコンビ、ATM支払いの番号ってEメールでくるの？ ワイスマホでGoogleメしか使っとらんし持ってないよEメール 誰か詳しい人〜,1556232,リプライ失礼いたします。携帯電話番号にてアカウント登録をされておりますか？その場合、当サイトからのお知らせはメッセージセンターにてご確認をお願いいたします。以下リンクよりアクセスできます。[LINK] HM
1199059,401720,Pathetic service from . Expecting a Order # 403-2822937-1300360 since 23rd &amp; they give standard reply every time I contact them.,1199060,"I'm sorry about that, I’d like to help you; please fill this form: [LINK] and I’ll contact you soon. 1/2^SC"
384745,207093,"Ordered Ash vs Evil Dead seasons 1&amp;2 via browser like you said, with no problems. Thanks for the help and suggestion",384747,Thank you for letting us know! Have a great day! ^NC
1479795,120322,"There's no "" File/View Claim"", how to do now? Nee my order #?",1479793,"Apologies, please contact us here: [LINK] so an agent can look into this for you. ^JJ"
281643,135274,Is this option only available on desktop site? As before there is NOTHING re weekend delivery in the edit feature on mobile site?,281645,It may already be added- Can you use this link to get in touch and we can double check: [LINK] Thanks ^NV
1495217,467171,I accidentally had a package sent to an old address. I don’t know anyone there. How do I rectify this?,1495215,Hi Patrick- Has the order shipped? Or still pending fulfillment? ^NV
144076,135795,So even with prime membership i cant get anything delivered from until monday even tho its a prime item Remind me what i pay for given i dont use the streaming services,144075,Orders placed with One-Day Delivery will arrive 1 business day after the item is dispatched. You can find more information about Prime delivery here: [LINK] ^KH
1157260,202707,Your apps consistently fail. I have to reset often. It’s right next to the router. Just tired of it.,1157262,Can you tell us more about what happens when they fail and which apps are failing? We'd like to help. ^KH
1659297,506250,I reported this issue and requested to talk to a manager but the customer service does not care.,1659300,"I'm sorry for the poor experience with our support, write to us 1/2 ^MJ"
2825572,575001,"To paraphrase the C's agent, tough. Wait until after Christmas.",2825573,Is the item currently not in stock or were you given any other explanation as to why it would take so long? ^BZ
2424609,696270,Bjr J'ai vécu la pire expérience client q je pouvais vivre lors de ma dernière commande prime now Impossible de parler avec un représentant du service qualité / réclamation ni à défaut un manager Pvez-vs svp me mettre en relation avec le service qualité client,2424610,Nous attendons que vous remplissiez le formulaire afin qu'on puisse vous contacter. ^BR
872206,327067,Kindly do it faster,872207,We've received your details and we'll get back to you soon. Please Keep an eye on your mailbox. ^AS
183056,159050,would I be able to buy Kindle e books using a Canadian card from Canada? It's a gift for someone ?,183055,Kindly refer to the types of payment we accept on our website here: [LINK] ^SG
2781808,776871,Llegar a casa y ver que te ha dejado este libro tan bonico de una semana antes de tiempo. Con sus tapas duras y su papel güeno 😍😍😍 [LINK],2781807,"Hola, ¡Nos encanta sorprenderte con nuestras entregas veloces! Cuéntanos, ¿qué es lo que más te gusta de este libro? 😍📚 ^AA [LINK]"
1600729,491472,"Hey ordered boots and a shovel for the snow...the snow is here. My stuff is not. We have prime. ""Guaranteed"" delivery today.",1600727,I'm sorry for the trouble! What's the most up to date tracking information shown here: [LINK] ^DW
2507108,133008,"Turns out one of my parcels was dumped down the side of the bin rather than actually being delivered, I don't even know WHEN it came, no card was left, our Hermes delivery person told us about it when they knocked on today 😡.",2507106,"I'm terribly sorry for the condition of your parcel! Were any of the contents damaged? Please let us know, Rachel!"
237542,172560,3rd October,237540,You should receive your code today then at some stage. ^KM
2914513,247382,"Today's package is via TBA, but finally moved to 'out for delivery' just before 6PM. Previous issues were with USPS and UPS from differing Amazon facilities, so I don't see a pattern beyond bad luck.",2914515,Thanks for the update! We want to make sure you receive your shipment. Keep us posted. Have you reached out to us via phone/chat to provide carrier feedback? ^SH
2735690,766659,It's been like it for a week or 2 so it can't just be black friday,2735689,I certainly understand your concern! We strive to meet the date given in check out. Have we missed the delivery date sent to you in your order confirmation email? You can also view this date here: [LINK] ^HC
2752533,770561,"The carrier was through Amazon. It was same day delivery that got pushed back a day, then was deemed an undeliverable package.",2752532,"I'd like for a specialist to review this for you. Whenever you have the time, tell us as much information as possible here: [LINK] We'll contact you shortly after. ^SK"
1099264,379402,I've filled the details. I'll wait for your response,1099265,Thank you for sharing your details. We're working on it and will get back to you soon. ^AP
1749460,527292,"Un anniversaire sans cadeau grâce à .fr Il devait arrivée hier et a finalement été livré aujourd'hui en notre absence à un ""résident""",1749458,2/2 Avez-vous récupéré le colis?^FT
384468,207034,Yes I've shared.I need a call.,384469,Thank you for providing your details. We will get back to you once we have an update. ^GU
1687765,512521,"Yes, thanks, I saw that b4 I tweeted. I'd already followed all the steps described there. What next?",1687763,Thank you for clarifying. We can be reached for your next steps and available options here: [LINK] ^DW
1320517,428327,Hey! Gilt Amazon Channels Eurosport ab Abschluss für 4 Wochen oder wird ein Abschlag bis zum Ende des Monats berechnet?,1320515,Amazon Channels gilt immer ab Bestelldatum für einen Monat (und nicht bis zum Ende des Monats). ^KM
2311429,670346,Amazonでセカダン1とナナドラ3のサントラポチった 早よ届け,2311428,ポチありがとうございます！( *• ̀ω•́ )b お届けまで今しばらくお待ちください🙇 YM
2884975,800233,アマゾンプライム登録しようかな…,2884974,よろしければ…ご検討くださいm(*-ω-)m [LINK] RI
2832946,788678,I request for return and replacement it's done but from amazon someone say your pincode can't come to collect. Pincode: 392240 If amazon give permission to change return address.,2832943,I understand you want to change the return pick up address. Please connect with our support team here: [LINK] and we'll assist you further. ^KH
1108215,381547,Das Paket wurde immernoch nicht versendet. Es ist der 08.11. [LINK],1108214,"Oje, das ist ja ärgerlich. Gerne schaut sich das unser Kundenservice an, den du über [LINK] erreichst. ^KM"
641894,272327,I need to get a credit for a order of mine . The post office didnt deliver it today. It is here at my location.,641893,We definitely understand the frustration! Delayed orders typically arrive 1-2 days after the missed delivery date. Please keep us updated on this delivery. ^HM
2300011,340688,The carrier was Amazon I was sitting in my living room with my front door open and a vehicle pulled up and threw the Amazon package right in my yard,2301059,I'm sorry for this experience. I'd like a member of our team to take a look at this for you. Please provide details here: [LINK] ^JF
1500630,468406,Amazon prime finds it difficult to deliver kids clay dough in 2 working days. Disappointed. #amazon #AmazonIndia,1500629,I'm sorry about the delay. Have you reported this to our team here: [LINK] ? ^SG
512342,237825,"Porque me sorprende,me hace ver lo peor del ser humano y lo mejor o único que nos queda.",512344,"¡Suena interesante! Ahora tenemos más curiosidad, cuéntanos, si tuvieras la oportunidad de realizar el papel de un personaje de la serie, ¿cuál sería? 😎 ^AA"
2680369,754114,This is how close is to ruining Halloween 😅 [LINK],2680367,Sorry for making you wait! Please let us know if the order doesn't arrive by 8PM. ^DD
549433,247938,I shared so many screenshots. Surely you can open and see the DSR for seller 264 yourself?,549434,"We would like to check with orders you have faced problem with, write to us here: [LINK] &amp; we'll connect with you to make things right. ^MJ"
2850663,140382,It's everything I try and order! Why am I charged for prime when you can't fulfil your part of agreement? Should report you to trading standards! All this money all year for piss poor service!,2850665,"During this busy time of year, orders may take extra time to arrive. More information on extended deliveries: [LINK] ^WT"
680404,282346,"You guys need to really work on your Customer Support reps, I get a different answer each time.",680405,Kindly let us know if you've received any correspondence from us here: [LINK] ^BV
1733122,118924,????? [LINK],1733123,to our support team here: [LINK] and we'll sort this for you at the earliest. 2/3 ^KH
986974,353883,Order# 404-4909142-9424306 ordered on 21st September. Having issues from day1 still issue not resolved. Not sure whom to contact,986973,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2)^MO"
318224,191933,Order # 408-8100969-6897126 Can u help me tracking this. Ppl locally not responding,318226,I'm sorry I cannot access your account from here. Usually the products are delivered by the estimated date of delivery.(1/3)^AU
283098,159034,And wat abt the problem I faced and wat abt the product I didn't received .who will be responsible for that .what will i get in return,283094,xSorry for the hassle. Please report this to our support team here: [LINK] and we'll check this. ^HN
2887291,285435,I've submitted the required details [LINK],2887379,"Thank you for sharing the details, Sakthi. We're working on it and we'll get back to you soon with an appropriate resolution. ^SY"
319167,192124,..please chk the refund of my order no 4__credit_card__..I m receiving some standard reply which are not helpful,319168,Every canceled order is followed up with an email explaining the reason why. I'd request you to check the same. 1/3 ^SB
1415997,301539,what contect i lost my temper which service you provide i never purchase any product for you website and i told my Friend never purchase any product,1415999,Sorry that you received a wrong product. Please request a return/replacement here: [LINK] ^NR
674353,280825,Has anyone else noticed that prime deliveries are no longer next day but when they feel like it. And customer services think a month free membership is the solution! Not impressed with it at all. Won’t be using it again this Christmas,674351,"I am sorry to hear this, Rebecca. When was your order scheduled to be delivered? What were you advised by the associate?^SM"
430660,217415,I did several times. It seems they are helpless. First time in all years of my association with I'm very #disappointed,430663,I'm sorry about the issue you're facing with delivery. Let us look into it. (1/2)^HR
2954309,815651,¿cómo puedo abrir una reclamación a la empresa de transporte que trae los productos? Dicen que han estado en mi casa repartiendo y no ha venido nadie. No me he movido. No es la primera vez que me pasa con ellos.,2954306,"Hola, Carlos. Lamentamos mucho estos inconvenientes. ¿Cuál es la fecha de entrega estimada para este pedido? ^ES"
2103635,621104,Necesito una respuesta urgente por favor.,2103633,"Hola, para poder orientarte sería necesario que nos indiques en la página de Amazon de cuál país realizaste la compra ^AR"
2312296,670577,Hallo Wieso kostet denn der Bartisch Frieda plötzlich wieder 305€ anstatt knapp 90€?? Wollte ihn gerade bestellen 😬,2312295,"Hi, Marketplace-Verkäufer können Ihre Preise selbstständig festlegen. Sollte das Angebot eines Verkäufers nicht mehr verfügbar sein, wird dir ein anderes Angebot angezeigt. Gruß ^MI"
2799344,781019,知らないうちにAmazonのプライム会員になってた／^o^＼会費もったいない…,2799343,(1/2)意図しないご登録となり申し訳ありません。プライム無料体験をご利用ではなかったでしょうか。ご登録後に自動更新をオフに設定されていない場合、体験期間終了後に有料会員へと移行となります。 YM
179831,128317,I ordered on July 25th. I still do not receive anything and you already charged me. It doesn't let me cancel. Unacceptable. 😡😡😡 [LINK],179829,Hi Alvaro- Can you confirm which site you placed your order with? How long has the item been showing as delayed? ^NV
1850530,553981,But my brother ordered the same item and he received an email saying you were trying to obtain the item &amp; it’s delivery day was today,1850533,Does your order status confirmed that it has entered the dispatch process ? ^TD
2502226,335691,What is the point of even having Amazon Prime now. I ordered a shirt over a week ago and it still hasn't shipped yet.,2502225,I'm sorry your order hasn't shipped. What is the delivery date? You can check by clicking here: [LINK] ^AY
435093,218354,Taille trop petite,435095,Avez-vous déjà contacté le vendeur à propos de ces frais s'il vous plaît ? ^BR
269826,180356,when I buy an HD digital move is a device connected to #Amazon required?,269825,Thanks for reaching out tonight! You'll need to register the device with your Amazon account in order to access the movie. ^JM
124048,143741,"No Brasil, a Black Friday só acontece de verdade na Amazon. Obrigado",124047,"Olá, Luan! Obrigado pelas suas palavras! Me diga, você conseguiu aproveitar as nossas promoções? 🤔 ^CR"
2838586,789991,"Nell'era del digital e del tempo reale, il corriere non ti contatta per la consegna del collo #Amazon tanto atteso.",2838585,"Ciao Anna, non tutti i corrieri possiedono un telefono aziendale per poter contattare i clienti prima della consegna. Buona giornata. ^ZC"
133660,146131,Hep &amp; on peut savoir pourquoi y'a aucune offre PS4 chez nous alors que c'est totale braderie chez et sans même parler des offres de dingues de 😶,133659,"Bonjour Martin, nous nous efforçons de vous proposer des promotions sur une large gamme d'articles. Restez connecté, toutes nos offres seront disponibles sur le site. ^FT"
145887,149083,"Heureusement c est intact, il aurait facilement pu être volé. N de suivit : cca000006563",145888,"Pour mieux vérifier la situation, je vous invite à remplir le formulaire suivant : [LINK] ^SB"
2067271,611311,me ajuda pelo amor de DEUS,2067270,"Olá Querildo, como podemos te ajudar hoje? ^VL"
2230330,638021,Still nothing... the extra charges are still on my credit card,2230328,Hi Jonathan! You can get in touch with us right away with our call back service:[LINK] ^CN
1783435,535845,fucking atrocious service. Kept me in all day and night and told me delivery would be at 12 midnight!! That's me done with Amazon,1783434,That's not the experience we like to hear about. Please reach us here so we can look into this: [LINK] ^GG
2744189,768586,on peut acheter du charisme chez vous s’il vous plait ? Et du sex-appeal ? C’est pour le travail.,2744187,"Il est malheureusement en rupture de stock, j'ai tout acheté 😉 ^MA"
980621,352512,"Yes it's now been 6 days since the last contact, I wait a week each time just to be sure.",980620,"Just to confirm, was this order sold and fulfilled by a third-party seller or Amazon? Order info: [LINK] ^WM"
1080893,328727,"For the amazon echo dot, i am not able to find amazon echo app in Appstore. Is this a different one from the US or UK devices ?",1080892,"The app will be available for download from the App store/play store, once the devices are shipped off in the week of Oct 30th ^MS"
989194,354361,Delivery agents always update wrong status.This time it was surprising to see that it shows that product was Rejected by me. #AmazonSucks,990785,Sorry to know that. Please provide your details here: [LINK] we will look into it and assist you further.^GU
2352201,667384,Hi I'm a prime member and ordered an item over 10 days ago for next day delivery and it still hasn't turned up. Can you help as app or website doesn't have a option for this problem thank you,2352199,"Amazon Prime Two-Day Shipping refers to the transit time after your order ships, not after the order is placed. We always aim to meet the delivery date provided during checkout and in your order confirmation e-mail. Are we missing this promised date? ^CH"
1381767,431494,Hi ! Order# 171-1012722-5427504 was supposed to get delivered by 11 am. No sign of it till now. Paid extra for timed delivery.,1381766,"Also, please don’t provide your order details as its personal information. Our Twitter page is visible to public. 2/2 ^RS"
1656734,505545,"Yes, it does. This happened twice today. The first time it recovered after a reboot and being online. Not this time.",1656736,We definitely want to help get to the bottom of this! Please reach out via chat or phone here: [LINK] ^DG
1541007,477582,well it was supposed to ship today but hasn't so far. I am on the East Coast,1541010,Packages may ship as late as day they are due to arrive based on location and proximity. We'll send you an email once it ships. ^RM
2770680,774539,Gracias [LINK],2770679,"Hola Esteka, esperamos te encuentres bien. ¿Cuándo comenzarás la prueba gratuita? ^AZ"
284404,183738,"hello, my package’s status on the Amazn app is « delivery in progress » while on the forwarder’s website it’s delivered pls help",284402,"Hi, sorry to hear that. What Amazon website did you use to place the order? [LINK] ^JJ"
2945562,813634,i had book jack &amp; jones [LINK] date was 27 nov. not received the product yet.eveyday i get msg reattempt nxt day. ID - 183169574565,2945561,"I'm sorry about the situation. Kindly share your details here: [LINK] and I'll look into this. Also, please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG"
857818,219454,Random things I don’t even need urgently: Next day shipping Tin box with gift card: Two week shipping as we mine the earth for this rare tin,2152589,always striving to provide our customers with the greatest possible selection when shopping online. 3/3 ^AP
1326326,429463,merci pour l'emballage 😲😤. Honteux. C soit trop grand soit trop petit..... [LINK],1326325,"Bonjour, Vous pouvez soumettre une évaluation sur l'emballage reçu via le lien suivant : [LINK] ^MD"
2319790,672343,US of A,2319792,"We're happy to look into all available options. At your earliest convenience, contact us here: [LINK] ^LI"
784381,307196,I was defrauded in my order number #404-5541471-9760348 ACTION EXPECTED FROM,784382,Apologies for the unpleasant experience. Kindly share your details here: [LINK] and I'll contact you. ^GS
2290499,665345,I have already spoken to your live channels. They say they can only send a form to the carrier and don’t know the outcome once sent. Last update was that they ‘hoped’ the carrier would deliver last night. They didn’t. Nobody is helping. 😞,2290500,"Apologies, has the tracking on your order been updated since yesterday: [LINK] ^JJ"
2364741,682714,The contractor who just parked in the middle of the street there by blocking my driveway to deliver a package next door should sync his lucky stars I don’t have a cow catcher on this vehicle!,2364739,I'm sorry they blocked you in! I hope the driver wasn't parked there too long. Were you able to confirm which delivery service it was? ^BH
2279427,478945,I am fed up with . I had to sign out from then need to sign in . I had to do it everytime. I tried to contact with support team but they are not responding well. Please help me my prime subscriptions is wasting.,2279426,"We're sorry for the experience you've had, Istekhar. Please share your details here: [LINK] and we'll get in touch with you soon. ^SM"
1676677,510019,"Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",1676678,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ"
